Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,demande,request
7,7,genre,kind
8,8,mois,month
9,9,frère,brother
10,10,laisser,let
11,11,car,because
12,12,mettre,to put
13,13,aucun,no
14,14,laisse,leash
15,16,ville,city
16,17,chaque,each
17,18,parlé,speak
18,19,arrivé,come
19,20,devrait,should
20,21,bébé,baby
21,22,longtemps,long time
22,23,vont,will
23,24,pendant,while
24,25,revoir,meet again
25,26,place,square
26,27,parle,speak
27,28,compris,understood
28,29,savais,knew
29,30,étaient,were
30,31,attention,Warning
31,32,voici,here is
32,33,pourrais,could
33,34,affaire,case
34,35,donner,give
35,36,type,type
36,37,leurs,their
37,38,donné,given
38,39,train,train
39,40,endroit,place
40,41,yeux,eyes
41,42,façon,way
42,43,écoute,listen
43,44,dont,whose
44,45,trouve,find
45,46,premier,first
46,47,perdu,lost
47,48,main,hand
48,49,première,first
49,50,côté,side
50,51,pouvoir,power
51,52,vieux,old
52,53,sois,be
53,54,tiens,here
54,55,matin,morning
55,56,tellement,so much
56,57,enfant,child
57,58,point,point
58,59,venu,came
59,60,suite,after
60,61,pardon,sorry
61,62,venez,come
62,63,devant,in front of
63,64,vers,towards
65,66,demandé,request
66,67,chambre,bedroom
67,68,mis,placed
68,69,belle,beautiful
69,70,droit,law
70,71,aimerais,would like to
71,72,aujourd'hui,today
72,73,mari,husband
73,74,enfin,finally
74,75,espère,hope
75,76,eau,water
76,77,attendez,Wait
77,78,parti,left
78,79,nouvelle,new
79,80,boulot,job
80,81,arrêter,Stop
81,82,donne,given
82,83,loin,far
83,84,fin,end
84,85,croire,believe
85,86,chérie,sweetheart
86,87,gros,large
87,88,plutôt,rather
88,89,aura,will have
89,90,jouer,to play
